n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
100,4,3,2,True,2,0.0,1.7421976628917046,1.4302780831030366
1000,4,3,2,True,1,0.0,1.7278194701877763,1.425876679026863
1000,4,3,2,True,2,0.0,1.7138859762542784,1.4210591135523292
10,4,4,2,True,1,0.0,1.8944153151629939,1.5020429884756128
10,4,4,2,True,2,0.0,1.8718199004873328,1.467748164938799
50,4,4,2,True,1,0.0,1.7517379331431013,1.440999441801949
50,4,4,2,True,2,0.0,1.7572142708529577,1.4328336197583176
100,4,4,2,True,1,0.0,1.760911221450834,1.4424639932969985
100,4,4,2,True,2,0.0,1.7421976628917046,1.4302780831030366
1000,4,4,2,True,1,0.0,1.7278194701877763,1.425876679026863
1000,4,4,2,True,2,0.0,1.7138859762542784,1.4210591135523292
10,4,2,3,True,1,0.0,1.8972779239256956,1.5050093216001008
10,4,2,3,True,2,0.0,1.8765607832296842,1.4666554015356557
50,4,2,3,True,1,0.0,1.7571372966985395,1.4420143518902697
50,4,2,3,True,2,0.0,1.7668590382800324,1.4353275483211958
100,4,2,3,True,1,0.0,1.7623830448206697,1.4391900234715804
100,4,2,3,True,2,0.0,1.7488571386796312,1.4312345722976882
1000,4,2,3,True,1,0.0,1.7321928955376633,1.4248306802238413
1000,4,2,3,True,2,0.0,1.7160241629031154,1.4202518661007033
10,4,3,3,True,1,0.0,1.8972779239256956,1.5050093216001008
10,4,3,3,True,2,0.0,1.8765607832296842,1.4666554015356557
50,4,3,3,True,1,0.0,1.7571372966985395,1.4420143518902697
50,4,3,3,True,2,0.0,1.7668590382800324,1.4353275483211958
100,4,3,3,True,1,0.0,1.7623830448206697,1.4391900234715804
100,4,3,3,True,2,0.0,1.7488571386796312,1.4312345722976882
1000,4,3,3,True,1,0.0,1.7321928955376633,1.4248306802238413
1000,4,3,3,True,2,0.0,1.7160241629031154,1.4202518661007033
10,4,4,3,True,1,0.0,1.8972779239256956,1.5050093216001008
10,4,4,3,True,2,0.0,1.8765607832296842,1.4666554015356557
50,4,4,3,True,1,0.0,1.7571372966985395,1.4420143518902697
50,4,4,3,True,2,0.0,1.7668590382800324,1.4353275483211958
100,4,4,3,True,1,0.0,1.7623830448206697,1.4391900234715804
100,4,4,3,True,2,0.0,1.7488571386796312,1.4312345722976882
1000,4,4,3,True,1,0.0,1.7321928955376633,1.4248306802238413
1000,4,4,3,True,2,0.0,1.7160241629031154,1.4202518661007033
10,4,2,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,2,1,True,2,1.0,3.706558872850854,2.211769143549046
